Chidamber-Kemerer metrics,jeu., 20 oct. 2022 17:15:06 HAE
Class,CBO,DIT,LCOM,NOC,RFC,WMC
org.jfree.chart.AreaChartTest,14,1,1,0,31,6
org.jfree.chart.AreaChartTest.LocalListener,3,1,1,0,1,1
org.jfree.chart.BarChartTest,14,1,1,0,31,6
org.jfree.chart.BarChartTest.LocalListener,3,1,1,0,1,1
org.jfree.chart.ChartColor,1,2,1,0,3,2
org.jfree.chart.ChartElement,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.ChartElementVisitor,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.ChartFactory,121,1,1,0,176,131
org.jfree.chart.ChartHints,3,1,0,0,2,1
org.jfree.chart.ChartHints.Key,1,2,1,0,5,5
org.jfree.chart.ChartRenderingInfo,41,1,1,0,28,21
org.jfree.chart.ChartRenderingInfoTest,7,1,4,0,26,4
org.jfree.chart.ChartTheme,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.ChartTransferable,2,1,1,0,18,13
org.jfree.chart.ChartUtils,14,1,9,0,58,32
org.jfree.chart.Drawable,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.GanttChartTest,14,1,1,0,38,9
org.jfree.chart.GanttChartTest.LocalListener,3,1,1,0,1,1
org.jfree.chart.JFreeChart,120,1,1,0,194,157
org.jfree.chart.JFreeChartTest,19,1,10,0,70,14
org.jfree.chart.LegendItemCollectionTest,4,1,2,0,20,3
org.jfree.chart.LegendItemTest,5,1,2,0,30,4
org.jfree.chart.LineChartTest,13,1,1,0,30,6
org.jfree.chart.LineChartTest.LocalListener,3,1,1,0,1,1
org.jfree.chart.MeterChartTest,5,1,1,0,12,1
org.jfree.chart.PieChartTest,5,1,1,0,12,3
org.jfree.chart.PieChartTest.LocalListener,3,1,1,0,1,1
org.jfree.chart.ScatterPlotTest,12,1,1,0,29,5
org.jfree.chart.ScatterPlotTest.LocalListener,3,1,1,0,1,1
org.jfree.chart.StackedAreaChartTest,14,1,1,0,31,6
org.jfree.chart.StackedAreaChartTest.LocalListener,3,1,1,0,1,1
org.jfree.chart.StackedBarChartTest,13,1,1,0,31,6
org.jfree.chart.StackedBarChartTest.LocalListener,3,1,1,0,1,1
org.jfree.chart.StandardChartTheme,57,1,4,1,238,200
org.jfree.chart.StandardChartThemeTest,7,1,3,0,47,3
org.jfree.chart.TestUtils,301,1,3,0,46,5
org.jfree.chart.TimeSeriesChartTest,12,1,1,0,29,5
org.jfree.chart.TimeSeriesChartTest.LocalListener,3,1,1,0,1,1
org.jfree.chart.WaterfallChartTest,11,1,1,0,22,5
org.jfree.chart.XYAreaChartTest,12,1,1,0,29,5
org.jfree.chart.XYAreaChartTest.LocalListener,3,1,1,0,1,1
org.jfree.chart.XYBarChartTest,14,1,1,0,30,5
org.jfree.chart.XYBarChartTest.LocalListener,3,1,1,0,1,1
org.jfree.chart.XYLineChartTest,12,1,1,0,29,5
org.jfree.chart.XYLineChartTest.LocalListener,3,1,1,0,1,1
org.jfree.chart.XYStepAreaChartTest,12,1,1,0,29,5
org.jfree.chart.XYStepAreaChartTest.LocalListener,3,1,1,0,1,1
org.jfree.chart.XYStepChartTest,13,1,1,0,29,5
org.jfree.chart.XYStepChartTest.LocalListener,3,1,1,0,1,1
org.jfree.chart.annotations.AbstractAnnotation,20,1,1,3,22,15
org.jfree.chart.annotations.AbstractXYAnnotation,18,2,4,9,16,16
org.jfree.chart.annotations.Annotation,n/a,n/a,n/a,n/a,2,n/a
org.jfree.chart.annotations.CategoryAnnotation,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.annotations.CategoryLineAnnotation,19,2,1,0,50,29
org.jfree.chart.annotations.CategoryLineAnnotationTest,3,1,2,0,25,6
org.jfree.chart.annotations.CategoryPointerAnnotation,18,4,1,0,69,35
org.jfree.chart.annotations.CategoryPointerAnnotationTest,4,1,1,0,27,5
org.jfree.chart.annotations.CategoryTextAnnotation,21,3,1,1,41,19
org.jfree.chart.annotations.CategoryTextAnnotationTest,4,1,5,0,19,5
org.jfree.chart.annotations.TextAnnotation,9,2,6,1,32,25
org.jfree.chart.annotations.TextAnnotationTest,6,1,4,0,21,5
org.jfree.chart.annotations.XYAnnotation,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.annotations.XYAnnotationBoundsInfo,n/a,n/a,n/a,n/a,3,n/a
org.jfree.chart.annotations.XYBoxAnnotation,13,3,1,0,44,30
org.jfree.chart.annotations.XYBoxAnnotationTest,10,1,1,0,32,7
org.jfree.chart.annotations.XYDataImageAnnotation,13,3,2,0,38,28
org.jfree.chart.annotations.XYDrawableAnnotation,12,3,1,0,33,21
org.jfree.chart.annotations.XYDrawableAnnotationTest,4,1,5,0,18,5
org.jfree.chart.annotations.XYDrawableAnnotationTest.TestDrawable,2,1,1,0,5,6
org.jfree.chart.annotations.XYImageAnnotation,12,3,1,0,39,22
org.jfree.chart.annotations.XYImageAnnotationTest,0,1,0,0,0,0
org.jfree.chart.annotations.XYLineAnnotation,15,3,1,0,44,27
org.jfree.chart.annotations.XYLineAnnotationTest,3,1,1,0,28,7
org.jfree.chart.annotations.XYPointerAnnotation,15,4,1,0,77,37
org.jfree.chart.annotations.XYPointerAnnotationTest,4,1,1,0,27,5
org.jfree.chart.annotations.XYPolygonAnnotation,15,3,1,0,49,29
org.jfree.chart.annotations.XYPolygonAnnotationTest,3,1,1,0,18,5
org.jfree.chart.annotations.XYShapeAnnotation,14,3,1,0,48,21
org.jfree.chart.annotations.XYShapeAnnotationTest,3,1,1,0,19,5
org.jfree.chart.annotations.XYTextAnnotation,23,3,1,1,71,49
org.jfree.chart.annotations.XYTextAnnotationTest,4,1,4,0,29,5
org.jfree.chart.annotations.XYTitleAnnotation,25,3,1,0,56,36
org.jfree.chart.annotations.XYTitleAnnotationTest,10,1,5,0,27,5
org.jfree.chart.api.HorizontalAlignment,12,n/a,2,n/a,2,0
org.jfree.chart.api.Layer,8,n/a,2,n/a,2,0
org.jfree.chart.api.LengthAdjustmentType,8,n/a,2,n/a,2,0
org.jfree.chart.api.PublicCloneable,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.api.RectangleAlignment,6,n/a,3,n/a,14,14
org.jfree.chart.api.RectangleAlignmentTest,1,1,1,0,4,1
org.jfree.chart.api.RectangleAnchor,29,n/a,3,n/a,16,22
org.jfree.chart.api.RectangleEdge,100,n/a,3,n/a,10,14
org.jfree.chart.api.RectangleInsets,65,1,1,0,38,57
org.jfree.chart.api.Rotation,5,n/a,3,n/a,4,2
org.jfree.chart.api.SortOrder,9,n/a,2,n/a,2,0
org.jfree.chart.api.TableOrder,7,n/a,2,n/a,2,0
org.jfree.chart.api.UnitType,7,n/a,2,n/a,2,0
org.jfree.chart.api.VerticalAlignment,12,n/a,2,n/a,2,0
org.jfree.chart.api.XYCoordinateType,1,n/a,2,n/a,2,0
org.jfree.chart.axis.Axis,60,1,7,2,160,153
org.jfree.chart.axis.AxisCollection,5,1,1,0,9,11
org.jfree.chart.axis.AxisLabelLocation,2,n/a,2,n/a,2,0
org.jfree.chart.axis.AxisLocation,14,n/a,3,n/a,6,7
org.jfree.chart.axis.AxisLocationTest,2,1,1,0,8,3
org.jfree.chart.axis.AxisSpace,19,1,1,0,34,43
org.jfree.chart.axis.AxisSpaceTest,1,1,3,0,16,3
org.jfree.chart.axis.AxisState,24,1,3,0,16,18
org.jfree.chart.axis.AxisTest,5,1,2,0,45,4
org.jfree.chart.axis.CategoryAnchor,7,n/a,2,n/a,2,0
org.jfree.chart.axis.CategoryAnchorTest,2,1,1,0,9,3
org.jfree.chart.axis.CategoryAxis,76,2,4,2,169,134
org.jfree.chart.axis.CategoryAxisTest,3,1,3,0,27,5
org.jfree.chart.axis.CategoryLabelPosition,9,1,6,0,15,20
org.jfree.chart.axis.CategoryLabelPositionTest,6,1,3,0,10,3
org.jfree.chart.axis.CategoryLabelPositions,10,1,2,0,18,21
org.jfree.chart.axis.CategoryLabelPositionsTest,5,1,2,0,11,3
org.jfree.chart.axis.CategoryLabelWidthType,5,n/a,2,n/a,2,0
org.jfree.chart.axis.CategoryLabelWidthTypeTest,2,1,1,0,8,3
org.jfree.chart.axis.CategoryTick,6,2,3,0,12,11
org.jfree.chart.axis.CategoryTickTest,7,1,1,0,17,4
org.jfree.chart.axis.CompassFormat,2,3,2,0,12,9
org.jfree.chart.axis.CyclicNumberAxis,23,4,3,0,105,120
org.jfree.chart.axis.CyclicNumberAxis.CycleBoundTick,3,4,0,0,2,1
org.jfree.chart.axis.CyclicNumberAxisTest,3,1,4,0,24,4
org.jfree.chart.axis.DateAxis,30,3,1,1,168,153
org.jfree.chart.axis.DateAxis.DefaultTimeline,2,1,7,0,9,11
org.jfree.chart.axis.DateAxisTest,21,1,8,0,111,25
org.jfree.chart.axis.DateAxisTest.MyDateAxis,3,4,1,0,4,2
org.jfree.chart.axis.DateTick,7,3,1,0,11,8
org.jfree.chart.axis.DateTickMarkPosition,3,n/a,2,n/a,2,0
org.jfree.chart.axis.DateTickMarkPositionTest,2,1,1,0,9,3
org.jfree.chart.axis.DateTickTest,5,1,1,0,16,4
org.jfree.chart.axis.DateTickUnit,7,2,4,0,35,32
org.jfree.chart.axis.DateTickUnitTest,3,1,1,0,8,3
org.jfree.chart.axis.DateTickUnitType,4,n/a,3,n/a,4,2
org.jfree.chart.axis.ExtendedCategoryAxis,11,3,1,0,35,20
org.jfree.chart.axis.ExtendedCategoryAxisTest,3,1,3,0,23,5
org.jfree.chart.axis.LogAxis,22,3,1,0,129,97
org.jfree.chart.axis.LogAxisTest,14,1,6,0,53,12
org.jfree.chart.axis.LogTick,5,3,1,0,3,2
org.jfree.chart.axis.LogarithmicAxis,13,4,1,1,70,114
org.jfree.chart.axis.LogarithmicAxisTest,5,1,2,0,38,10
org.jfree.chart.axis.LogarithmicAxisTest.MyLogarithmicAxis,2,5,1,0,4,2
org.jfree.chart.axis.MarkerAxisBand,8,1,1,0,43,18
org.jfree.chart.axis.MarkerAxisBandTest,2,1,2,0,10,3
org.jfree.chart.axis.ModuloAxis,7,4,1,0,38,40
org.jfree.chart.axis.ModuloAxisTest,4,1,4,0,16,4
org.jfree.chart.axis.MonthDateFormat,2,3,2,0,28,19
org.jfree.chart.axis.MonthDateFormatTest,2,1,4,0,17,4
org.jfree.chart.axis.NumberAxis,76,3,9,4,123,112
org.jfree.chart.axis.NumberAxisTest,16,1,5,0,55,12
org.jfree.chart.axis.NumberTick,11,3,1,1,6,3
org.jfree.chart.axis.NumberTickUnit,17,2,1,0,17,12
org.jfree.chart.axis.NumberTickUnitSource,5,1,1,0,24,39
org.jfree.chart.axis.NumberTickUnitTest,2,1,4,0,12,4
org.jfree.chart.axis.PeriodAxis,24,3,1,0,155,115
org.jfree.chart.axis.PeriodAxisLabelInfo,8,1,8,0,36,26
org.jfree.chart.axis.PeriodAxisLabelInfoTest,6,1,5,0,25,5
org.jfree.chart.axis.PeriodAxisTest,15,1,7,0,58,8
org.jfree.chart.axis.QuarterDateFormat,2,3,2,0,17,12
org.jfree.chart.axis.QuarterDateFormatTest,2,1,4,0,16,4
org.jfree.chart.axis.StandardTickUnitSource,4,1,1,0,13,7
org.jfree.chart.axis.StandardTickUnitSourceTest,2,1,2,0,5,2
org.jfree.chart.axis.SubCategoryAxis,17,3,1,0,69,40
org.jfree.chart.axis.SubCategoryAxisTest,7,1,5,0,28,5
org.jfree.chart.axis.SymbolAxis,20,4,2,0,87,69
org.jfree.chart.axis.SymbolAxisTest,3,1,3,0,14,3
org.jfree.chart.axis.Tick,15,1,4,2,11,14
org.jfree.chart.axis.TickType,12,n/a,2,n/a,2,0
org.jfree.chart.axis.TickUnit,15,1,3,2,10,16
org.jfree.chart.axis.TickUnitSource,n/a,n/a,n/a,n/a,3,n/a
org.jfree.chart.axis.TickUnits,5,1,1,0,22,14
org.jfree.chart.axis.TickUnitsTest,4,1,3,0,13,3
org.jfree.chart.axis.Timeline,n/a,n/a,n/a,n/a,7,n/a
org.jfree.chart.axis.ValueAxis,137,2,7,4,163,163
org.jfree.chart.axis.ValueAxisTest,16,1,4,0,55,4
org.jfree.chart.axis.ValueTick,15,2,2,3,8,9
org.jfree.chart.block.AbstractBlock,30,1,3,6,77,55
org.jfree.chart.block.AbstractBlockTest,5,1,3,0,24,3
org.jfree.chart.block.Arrangement,n/a,n/a,n/a,n/a,3,n/a
org.jfree.chart.block.Block,n/a,n/a,n/a,n/a,7,n/a
org.jfree.chart.block.BlockBorder,9,1,1,0,31,19
org.jfree.chart.block.BlockBorderTest,4,1,2,0,12,3
org.jfree.chart.block.BlockContainer,25,2,1,1,48,26
org.jfree.chart.block.BlockContainerTest,6,1,3,0,17,3
org.jfree.chart.block.BlockFrame,n/a,n/a,n/a,n/a,2,n/a
org.jfree.chart.block.BlockParams,3,1,3,0,7,7
org.jfree.chart.block.BlockResult,7,1,1,0,3,3
org.jfree.chart.block.BorderArrangement,12,1,1,0,40,71
org.jfree.chart.block.BorderArrangementTest,11,1,3,0,27,6
org.jfree.chart.block.CenterArrangement,8,1,3,0,33,31
org.jfree.chart.block.ColorBlock,8,2,2,0,31,12
org.jfree.chart.block.ColorBlockTest,3,1,1,0,17,3
org.jfree.chart.block.ColumnArrangement,12,1,3,0,38,42
org.jfree.chart.block.ColumnArrangementTest,4,1,2,0,9,3
org.jfree.chart.block.EmptyBlock,10,2,2,0,16,5
org.jfree.chart.block.EmptyBlockTest,3,1,3,0,13,3
org.jfree.chart.block.EntityBlockParams,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.block.EntityBlockResult,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.block.FlowArrangement,12,1,3,0,40,46
org.jfree.chart.block.FlowArrangementTest,4,1,2,0,9,3
org.jfree.chart.block.GridArrangement,8,1,3,0,38,51
org.jfree.chart.block.GridArrangementTest,9,1,4,0,41,19
org.jfree.chart.block.LabelBlock,19,2,1,0,59,34
org.jfree.chart.block.LabelBlockTest,5,1,1,0,17,3
org.jfree.chart.block.LengthConstraintType,14,n/a,2,n/a,2,0
org.jfree.chart.block.LineBorder,6,1,1,0,36,19
org.jfree.chart.block.LineBorderTest,3,1,2,0,12,3
org.jfree.chart.block.RectangleConstraint,28,1,1,0,24,33
org.jfree.chart.block.RectangleConstraintTest,4,1,1,0,6,1
org.jfree.chart.block.Size2D,33,1,2,0,12,14
org.jfree.chart.date.MonthConstants,n/a,n/a,n/a,n/a,0,n/a
org.jfree.chart.date.SerialDate,8,1,16,1,65,78
org.jfree.chart.date.SpreadsheetDate,2,2,3,0,30,34
org.jfree.chart.encoders.EncoderUtil,3,1,8,0,14,8
org.jfree.chart.encoders.ImageEncoder,n/a,n/a,n/a,n/a,6,n/a
org.jfree.chart.encoders.ImageEncoderFactory,2,1,1,0,17,8
org.jfree.chart.encoders.ImageFormat,n/a,n/a,n/a,n/a,0,n/a
org.jfree.chart.encoders.SunJPEGEncoderAdapter,2,1,3,0,23,8
org.jfree.chart.encoders.SunPNGEncoderAdapter,3,1,5,0,10,6
org.jfree.chart.entity.AxisEntity,5,2,1,0,28,16
org.jfree.chart.entity.CategoryItemEntity,6,2,3,0,14,14
org.jfree.chart.entity.CategoryItemEntityTest,5,1,3,0,17,3
org.jfree.chart.entity.CategoryLabelEntity,5,3,1,0,16,8
org.jfree.chart.entity.CategoryLabelEntityTest,4,1,3,0,15,3
org.jfree.chart.entity.ChartEntity,36,1,1,12,45,37
org.jfree.chart.entity.EntityCollection,n/a,n/a,n/a,n/a,8,n/a
org.jfree.chart.entity.FlowEntity,5,2,1,0,10,7
org.jfree.chart.entity.FlowEntityTest,4,1,3,0,13,3
org.jfree.chart.entity.JFreeChartEntity,5,2,1,0,28,16
org.jfree.chart.entity.LegendItemEntity,4,2,2,0,12,13
org.jfree.chart.entity.LegendItemEntityTest,5,1,3,0,18,3
org.jfree.chart.entity.NodeEntity,4,2,1,0,7,4
org.jfree.chart.entity.PieSectionEntity,7,2,4,0,18,18
org.jfree.chart.entity.PieSectionEntityTest,5,1,3,0,20,3
org.jfree.chart.entity.PlotEntity,5,2,1,0,28,16
org.jfree.chart.entity.StandardEntityCollection,13,1,1,0,29,17
org.jfree.chart.entity.StandardEntityCollectionTest,5,1,3,0,16,3
org.jfree.chart.entity.TickLabelEntity,3,2,0,1,2,1
org.jfree.chart.entity.TickLabelEntityTest,4,1,3,0,15,3
org.jfree.chart.entity.TitleEntity,7,2,1,0,28,16
org.jfree.chart.entity.XYAnnotationEntity,2,2,1,0,6,8
org.jfree.chart.entity.XYItemEntity,9,2,3,0,11,13
org.jfree.chart.entity.XYItemEntityTest,5,1,3,0,18,3
org.jfree.chart.event.AnnotationChangeEvent,10,3,1,0,4,2
org.jfree.chart.event.AnnotationChangeListener,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.event.AxisChangeEvent,10,3,1,0,3,2
org.jfree.chart.event.AxisChangeListener,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.event.ChartChangeEvent,35,2,2,7,9,7
org.jfree.chart.event.ChartChangeEventType,4,n/a,2,n/a,2,0
org.jfree.chart.event.ChartChangeListener,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.event.ChartProgressEvent,5,2,3,0,9,7
org.jfree.chart.event.ChartProgressEventType,2,n/a,2,n/a,2,0
org.jfree.chart.event.ChartProgressListener,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.event.MarkerChangeEvent,11,3,1,0,3,2
org.jfree.chart.event.MarkerChangeListener,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.event.PlotChangeEvent,14,3,1,0,3,2
org.jfree.chart.event.PlotChangeListener,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.event.RendererChangeEvent,12,3,2,0,5,4
org.jfree.chart.event.RendererChangeListener,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.event.TitleChangeEvent,9,3,1,0,3,2
org.jfree.chart.event.TitleChangeListener,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.imagemap.DynamicDriveToolTipTagFragmentGenerator,2,1,1,0,5,3
org.jfree.chart.imagemap.DynamicDriveToolTipTagFragmentGeneratorTest,1,1,1,0,4,1
org.jfree.chart.imagemap.ImageMapUtils,13,1,2,0,25,23
org.jfree.chart.imagemap.ImageMapUtilsTest,8,1,5,0,19,5
org.jfree.chart.imagemap.OverLIBToolTipTagFragmentGenerator,5,1,1,0,4,2
org.jfree.chart.imagemap.OverLIBToolTipTagFragmentGeneratorTest,1,1,1,0,4,1
org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator,5,1,1,0,4,2
org.jfree.chart.imagemap.StandardToolTipTagFragmentGeneratorTest,1,1,1,0,4,1
org.jfree.chart.imagemap.StandardURLTagFragmentGenerator,5,1,1,0,3,2
org.jfree.chart.imagemap.StandardURLTagFragmentGeneratorTest,1,1,1,0,4,1
org.jfree.chart.imagemap.ToolTipTagFragmentGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.imagemap.URLTagFragmentGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.internal.Args,239,1,5,0,7,10
org.jfree.chart.internal.ArgsTest,1,1,1,0,3,1
org.jfree.chart.internal.ArrayUtils,3,1,1,0,11,31
org.jfree.chart.internal.CloneUtils,244,1,1,0,19,13
org.jfree.chart.internal.CloneUtilsTest,1,1,2,0,11,2
org.jfree.chart.internal.HashUtils,55,1,2,0,19,19
org.jfree.chart.internal.HashUtilsTest,1,1,1,0,4,1
org.jfree.chart.internal.LineUtils,6,1,2,0,15,15
org.jfree.chart.internal.LineUtilsTest,1,1,1,0,15,7
org.jfree.chart.internal.PaintUtils,69,1,3,0,45,20
org.jfree.chart.internal.SerialUtils,96,1,10,0,99,71
org.jfree.chart.internal.SerialUtilsTest,4,1,2,0,14,2
org.jfree.chart.internal.SerialUtilsTest.ObjectWithMapOfPaint,2,1,1,0,8,4
org.jfree.chart.internal.SerialUtilsTest.ObjectWithMapOfStroke,2,1,1,0,8,4
org.jfree.chart.internal.ShapeUtils,31,1,16,0,72,46
org.jfree.chart.internal.ShapeUtilsTest,2,1,5,0,22,5
org.jfree.chart.labels.AbstractCategoryItemLabelGenerator,13,1,3,2,31,24
org.jfree.chart.labels.AbstractPieItemLabelGenerator,9,1,1,2,23,20
org.jfree.chart.labels.AbstractXYItemLabelGenerator,12,1,1,5,36,31
org.jfree.chart.labels.BoxAndWhiskerToolTipGenerator,10,3,1,0,17,7
org.jfree.chart.labels.BoxAndWhiskerToolTipGeneratorTest,5,1,5,0,18,5
org.jfree.chart.labels.BoxAndWhiskerXYToolTipGenerator,8,3,1,0,24,8
org.jfree.chart.labels.BoxAndWhiskerXYToolTipGeneratorTest,4,1,5,0,19,5
org.jfree.chart.labels.BubbleXYItemLabelGenerator,9,2,1,0,31,19
org.jfree.chart.labels.BubbleXYItemLabelGeneratorTest,6,1,6,0,25,6
org.jfree.chart.labels.CategoryItemLabelGenerator,n/a,n/a,n/a,n/a,3,n/a
org.jfree.chart.labels.CategorySeriesLabelGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.CategoryToolTipGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.CrosshairLabelGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.CustomXYItemLabelGeneratorTest,4,1,3,0,14,3
org.jfree.chart.labels.CustomXYToolTipGenerator,4,1,1,0,16,18
org.jfree.chart.labels.FlowLabelGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.HighLowItemLabelGenerator,10,1,2,0,31,21
org.jfree.chart.labels.HighLowItemLabelGeneratorTest,4,1,5,0,20,5
org.jfree.chart.labels.IntervalCategoryItemLabelGenerator,10,3,1,0,16,9
org.jfree.chart.labels.IntervalCategoryItemLabelGeneratorTest,5,1,5,0,21,5
org.jfree.chart.labels.IntervalCategoryToolTipGenerator,8,3,1,0,20,13
org.jfree.chart.labels.IntervalCategoryToolTipGeneratorTest,5,1,6,0,24,6
org.jfree.chart.labels.IntervalXYItemLabelGenerator,7,2,2,0,39,21
org.jfree.chart.labels.IntervalXYToolTipGenerator,6,2,2,0,39,21
org.jfree.chart.labels.ItemLabelAnchor,10,n/a,2,n/a,2,0
org.jfree.chart.labels.ItemLabelAnchorTest,2,1,1,0,6,2
org.jfree.chart.labels.ItemLabelPosition,18,1,4,0,13,15
org.jfree.chart.labels.ItemLabelPositionTest,2,1,2,0,5,2
org.jfree.chart.labels.MultipleXYSeriesLabelGenerator,7,1,1,0,30,19
org.jfree.chart.labels.MultipleXYSeriesLabelGeneratorTest,4,1,5,0,18,5
org.jfree.chart.labels.PieSectionLabelGenerator,n/a,n/a,n/a,n/a,2,n/a
org.jfree.chart.labels.PieToolTipGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.StandardCategoryItemLabelGenerator,12,2,1,1,13,9
org.jfree.chart.labels.StandardCategoryItemLabelGeneratorTest,6,1,7,0,30,7
org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,9,1,1,0,14,10
org.jfree.chart.labels.StandardCategorySeriesLabelGeneratorTest,5,1,6,0,22,6
org.jfree.chart.labels.StandardCategoryToolTipGenerator,21,2,1,2,11,8
org.jfree.chart.labels.StandardCategoryToolTipGeneratorTest,5,1,6,0,23,6
org.jfree.chart.labels.StandardCrosshairLabelGenerator,4,1,1,0,16,11
org.jfree.chart.labels.StandardFlowLabelGenerator,7,1,1,0,16,7
org.jfree.chart.labels.StandardFlowLabelGeneratorTest,2,1,2,0,5,2
org.jfree.chart.labels.StandardPieSectionLabelGenerator,9,2,2,0,28,15
org.jfree.chart.labels.StandardPieSectionLabelGeneratorTest,4,1,5,0,21,5
org.jfree.chart.labels.StandardPieToolTipGenerator,7,2,1,0,13,7
org.jfree.chart.labels.StandardPieToolTipGeneratorTest,5,1,5,0,21,5
org.jfree.chart.labels.StandardXYItemLabelGenerator,7,2,1,0,19,12
org.jfree.chart.labels.StandardXYItemLabelGeneratorTest,5,1,5,0,27,5
org.jfree.chart.labels.StandardXYSeriesLabelGenerator,10,1,1,0,14,10
org.jfree.chart.labels.StandardXYSeriesLabelGeneratorTest,6,1,6,0,22,6
org.jfree.chart.labels.StandardXYToolTipGenerator,19,2,2,2,20,12
org.jfree.chart.labels.StandardXYToolTipGeneratorTest,4,1,5,0,20,5
org.jfree.chart.labels.StandardXYZToolTipGenerator,9,3,1,0,30,18
org.jfree.chart.labels.StandardXYZToolTipGeneratorTest,4,1,5,0,20,5
org.jfree.chart.labels.SymbolicXYItemLabelGenerator,11,1,2,0,18,12
org.jfree.chart.labels.SymbolicXYItemLabelGeneratorTest,4,1,5,0,14,5
